Subject,Image,NSED,SLJ
Sub119,NH02,High,0
Sub119,NH03,High,1
Sub119,NH04,High,0
Sub119,NH05,High,0
Sub119,NH06,High,0
Sub119,NH07,High,0
Sub119,NH08,High,0
Sub119,NH09,High,0
Sub119,NH10,High,0
Sub119,NH11,High,0
Sub119,NH12,High,0
Sub119,NH13,High,1
Sub119,NH14,High,0
Sub119,NH15,High,0
Sub119,NH16,High,0
Sub119,NH17,High,0
Sub119,NH18,High,0
Sub119,NH19,High,0
Sub119,NH20,High,0
Sub120,NL01,Low,0
Sub120,NL02,Low,1
Sub120,NL03,Low,0
Sub120,NL04,Low,0
Sub120,NL05,Low,0
Sub120,NL06,Low,0
Sub120,NL07,Low,0
Sub120,NL08,Low,1
Sub120,NL09,Low,0
Sub120,NL10,Low,0
Sub120,NL11,Low,0
Sub120,NL12,Low,0
Sub120,NL13,Low,0
Sub120,NL14,Low,0
Sub120,NL15,Low,0
Sub120,NL16,Low,0
Sub120,NL17,Low,0
Sub120,NL18,Low,0
Sub120,NL19,Low,0
Sub120,NL20,Low,0
Sub120,NH01,High,0
Sub120,NH02,High,0
Sub120,NH03,High,0
Sub120,NH04,High,0
Sub120,NH05,High,0
Sub120,NH06,High,0
Sub120,NH07,High,0
Sub120,NH08,High,0
Sub120,NH09,High,0
Sub120,NH10,High,0
Sub120,NH11,High,0
Sub120,NH12,High,0
Sub120,NH13,High,0
Sub120,NH14,High,0
Sub120,NH15,High,0
Sub120,NH16,High,0
Sub120,NH17,High,0
Sub120,NH18,High,0
Sub120,NH19,High,0
Sub120,NH20,High,0
Sub121,NL01,Low,0
Sub121,NL02,Low,1
Sub121,NL03,Low,0
Sub121,NL04,Low,0
Sub121,NL05,Low,0
Sub121,NL06,Low,1
Sub121,NL07,Low,0
Sub121,NL08,Low,0
Sub121,NL09,Low,0
Sub121,NL10,Low,0
Sub121,NL11,Low,0
Sub121,NL12,Low,0
Sub121,NL13,Low,0
Sub121,NL14,Low,0
Sub121,NL15,Low,0
Sub121,NL16,Low,0
Sub121,NL17,Low,1
Sub121,NL18,Low,0
Sub121,NL19,Low,0
Sub121,NL20,Low,0
Sub121,NH01,High,0
Sub121,NH02,High,1
Sub121,NH03,High,1
Sub121,NH04,High,0
Sub121,NH05,High,1
Sub121,NH06,High,0
Sub121,NH07,High,0
Sub121,NH08,High,0
Sub121,NH09,High,0
Sub121,NH10,High,0
Sub121,NH11,High,0
Sub121,NH12,High,1
Sub121,NH13,High,0
Sub121,NH14,High,0
Sub121,NH15,High,0
Sub121,NH16,High,0
Sub121,NH17,High,0
Sub121,NH18,High,0
Sub121,NH19,High,0
Sub121,NH20,High,1
Sub122,NL01,Low,0
Sub122,NL02,Low,0
Sub122,NL03,Low,0
Sub122,NL04,Low,0
Sub122,NL05,Low,0
Sub122,NL06,Low,0
Sub122,NL07,Low,0
Sub122,NL08,Low,0
Sub122,NL09,Low,0
Sub122,NL10,Low,0
Sub122,NL11,Low,0
Sub122,NL12,Low,0
Sub122,NL13,Low,0
Sub122,NL14,Low,0
Sub122,NL15,Low,0
Sub122,NL16,Low,0
Sub122,NL17,Low,0
Sub122,NL18,Low,0
Sub122,NL19,Low,0
Sub122,NL20,Low,0
Sub122,NH01,High,0
Sub122,NH02,High,0
Sub122,NH03,High,0
Sub122,NH04,High,0
Sub122,NH05,High,0
Sub122,NH06,High,0
Sub122,NH07,High,0
Sub122,NH08,High,0
Sub122,NH09,High,0
Sub122,NH10,High,1
Sub122,NH11,High,0
Sub122,NH12,High,1
Sub122,NH13,High,0
Sub122,NH14,High,0
Sub122,NH15,High,0
Sub122,NH16,High,0
Sub122,NH17,High,1
Sub122,NH18,High,0
Sub122,NH19,High,0
Sub122,NH20,High,0
Sub123,NL01,Low,0
Sub123,NL02,Low,0
Sub123,NL03,Low,0
Sub123,NL04,Low,0
Sub123,NL05,Low,0
Sub123,NL06,Low,0
Sub123,NL07,Low,0
Sub123,NL08,Low,0
Sub123,NL09,Low,0
Sub123,NL10,Low,0
Sub123,NL11,Low,0
Sub123,NL12,Low,0
Sub123,NL13,Low,0
Sub123,NL14,Low,1
Sub123,NL15,Low,0
Sub123,NL16,Low,0
Sub123,NL17,Low,0
Sub123,NL18,Low,0
Sub123,NL19,Low,1
Sub123,NL20,Low,0
Sub123,NH01,High,1
Sub123,NH02,High,0
Sub123,NH03,High,1
Sub123,NH04,High,0
Sub123,NH05,High,0
Sub123,NH06,High,1
Sub123,NH07,High,1
Sub123,NH08,High,0
Sub123,NH09,High,0
Sub123,NH10,High,0
Sub123,NH11,High,0
Sub123,NH12,High,0
Sub123,NH13,High,0
Sub123,NH14,High,1
Sub123,NH15,High,0
Sub123,NH16,High,1
Sub123,NH17,High,0
Sub123,NH18,High,0
Sub123,NH19,High,0
Sub123,NH20,High,0
Sub124,NL01,Low,1
Sub124,NL02,Low,0
Sub124,NL03,Low,0
Sub124,NL04,Low,0
Sub124,NL05,Low,0
Sub124,NL06,Low,0
Sub124,NL07,Low,0
Sub124,NL08,Low,0
Sub124,NL09,Low,1
Sub124,NL10,Low,0
Sub124,NL11,Low,0
Sub124,NL12,Low,0
Sub124,NL13,Low,0
Sub124,NL14,Low,1
Sub124,NL15,Low,0
